country,vaccines,total_vaccinations
Luxembourg,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1280144.0
Malta,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",1255851.0
Macao,"Pfizer/BioNTech, Sinopharm/Beijing",1238228.0
Liberia,Oxford/AstraZeneca,1132502.0
Brunei,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",1068468.0
Central African Republic,"Covaxin, Oxford/AstraZeneca",1012846.0
Democratic Republic of Congo,Oxford/AstraZeneca,964948.0
Maldives,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",913264.0
Lesotho,"Johnson&Johnson, Oxford/AstraZeneca, Sinopharm/Beijing",905438.0
Guyana,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",889522.0
Namibia,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",834756.0
Congo,"Moderna, Oxford/AstraZeneca, Sinopharm/Beijing, Sputnik V",818931.0
Yemen,"Johnson&Johnson, Oxford/AstraZeneca, Sinovac",807502.0
Iceland,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",805469.0
Cape Verde,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",728077.0
Montenegro,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",668206.0
Comoros,"Covaxin, Oxford/AstraZeneca, Sinopharm/Beijing",637961.0
Northern Cyprus,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",617389.0
South Sudan,"Johnson&Johnson, Oxford/AstraZeneca",575057.0
Papua New Guinea,Oxford/AstraZeneca,574716.0
Guinea-Bissau,"Oxford/AstraZeneca, Sinopharm/Beijing",562620.0
Gabon,"Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",548978.0
Eswatini,"Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech",509424.0
Suriname,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",504529.0
Equatorial Guinea,Sinopharm/Beijing,473409.0
